Lines	Words	File_name
842 11636 ../../elitr-testset/documents/exotic-languages/ajuntament-barcelona/annual_accounts.cat
842 11444 ../../elitr-testset/documents/exotic-languages/ajuntament-barcelona/annual_accounts.en
842 12311 ../../elitr-testset/documents/exotic-languages/ajuntament-barcelona/annual_accounts.sp
314  5280 ../../elitr-testset/documents/exotic-languages/bs-audit-law/en-bs.bs
314  6563 ../../elitr-testset/documents/exotic-languages/bs-audit-law/en-bs.en
407  7349 ../../elitr-testset/documents/exotic-languages/bs-international-standard-auditing/en-bs.bs
407  8120 ../../elitr-testset/documents/exotic-languages/bs-international-standard-auditing/en-bs.en
395 11496 ../../elitr-testset/documents/exotic-languages/bs-policy-paper/en-bs.bs
395 13181 ../../elitr-testset/documents/exotic-languages/bs-policy-paper/en-bs.en
350  8614 ../../elitr-testset/documents/exotic-languages/cnr-government/en-cnr.cnr
350 10203 ../../elitr-testset/documents/exotic-languages/cnr-government/en-cnr.en
1014  38881 ../../elitr-testset/documents/exotic-languages/curia-eu/curia-eu.da
1014  41464 ../../elitr-testset/documents/exotic-languages/curia-eu/curia-eu.en
1014  41665 ../../elitr-testset/documents/exotic-languages/curia-eu/curia-eu.nl
1045  21425 ../../elitr-testset/documents/exotic-languages/ir-monitoring-report/en-ir.en
1045  22582 ../../elitr-testset/documents/exotic-languages/ir-monitoring-report/en-ir.ir
641  12546 ../../elitr-testset/documents/exotic-languages/plant-protection-products-audit/SR-pesticides.validated.da
641 13114 ../../elitr-testset/documents/exotic-languages/plant-protection-products-audit/SR-pesticides.validated.en
1909  44032 ../../elitr-testset/documents/exotic-languages/ru-foreign-affairs/ru-foreign-affairs.en
1909  37681 ../../elitr-testset/documents/exotic-languages/ru-foreign-affairs/ru-foreign-affairs.ru
834  21071 ../../elitr-testset/documents/exotic-languages/serbian-presidential-speeches/serbian-presidential-speech.en
834  18187 ../../elitr-testset/documents/exotic-languages/serbian-presidential-speeches/serbian-presidential-speech.sr
353 12339 ../../elitr-testset/documents/exotic-languages/sr-public-participation/en-sr.en
353 11877 ../../elitr-testset/documents/exotic-languages/sr-public-participation/en-sr.sr
230  6438 ../../elitr-testset/documents/exotic-languages/un-criminal-tribunals/president-meron.bs
230  7060 ../../elitr-testset/documents/exotic-languages/un-criminal-tribunals/president-meron.en
2264  71837 ../../elitr-testset/documents/exotic-languages/un-work-report/un-work-report.en
2264   75232 ../../elitr-testset/documents/exotic-languages/un-work-report/un-work-report.ru
