Lines	Words	File_name
5000	64395	../../elitr-testset/documents/confidential/intercorp/cs2en/shufsplit-test/shuffled.cs
5000	75221	../../elitr-testset/documents/confidential/intercorp/cs2en/shufsplit-test/shuffled.en
220	1788	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001a.en.OSt
220	1480	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001a.en.TTcs
614	4869	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001b.en.OSt
614	3841	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001b.en.TTcs
401	3455	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001c.en.OSt
401	2666	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001c.en.TTcs
281	1614	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001d.en.OSt
281	1234	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/ami-IS1001d.en.TTcs
14	176	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-01_teddy.en.OSt
14	148	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-01_teddy.en.TTcs1
14	154	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-01_teddy.en.TTcs2
12	171	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-02_autocentrum-oa.en.OSt
12	135	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-02_autocentrum-oa.en.TTcs1
12	132	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/antrecorp-02_autocentrum-oa.en.TTcs2
25	529	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/auditing-portuguese.en.OSt
25	446	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/auditing-portuguese.en.TTcs1
25	432	../../elitr-testset/documents/iwslt2020-nonnative-slt/devset/auditing-portuguese.en.TTcs2
