Lines	Words	File_name
16	182	../../elitr-testset/documents/2021-kufr/moses/moses.OSt
22	162	../../elitr-testset/documents/2021-kufr/bat-bed/bat-bed.OSt
15	235	../../elitr-testset/documents/2021-kufr/ck-remoa/ck-remoa.OSt
33	219	../../elitr-testset/documents/2021-kufr/kol-action/kol-action.OSt
28	195	../../elitr-testset/documents/2021-kufr/vase-sportarium/vase-sportarium.OSt
26	191	../../elitr-testset/documents/2021-kufr/cukrovy-svet/cukrovy-svet.OSt
13	221	../../elitr-testset/documents/2021-kufr/ck-elio/ck-elio.OSt
14	208	../../elitr-testset/documents/2021-kufr/cukrarna-na-oblacku/cukrarna-na-oblacku.OSt
33	196	../../elitr-testset/documents/2021-kufr/pen-hands/pen-hands.OSt
16	191	../../elitr-testset/documents/2021-kufr/catering/catering.OSt
15	204	../../elitr-testset/documents/2021-kufr/toy-joy/toy-joy.OSt
