Lines	Words	File_name
16	182	../../elitr-testset/documents/2021-antrecorp/moses/moses.OSt
22	162	../../elitr-testset/documents/2021-antrecorp/bat-bed/bat-bed.OSt
15	235	../../elitr-testset/documents/2021-antrecorp/ck-remoa/ck-remoa.OSt
33	219	../../elitr-testset/documents/2021-antrecorp/kol-action/kol-action.OSt
28	195	../../elitr-testset/documents/2021-antrecorp/vase-sportarium/vase-sportarium.OSt
26	191	../../elitr-testset/documents/2021-antrecorp/cukrovy-svet/cukrovy-svet.OSt
13	221	../../elitr-testset/documents/2021-antrecorp/ck-elio/ck-elio.OSt
14	208	../../elitr-testset/documents/2021-antrecorp/cukrarna-na-oblacku/cukrarna-na-oblacku.OSt
33	196	../../elitr-testset/documents/2021-antrecorp/pen-hands/pen-hands.OSt
16	191	../../elitr-testset/documents/2021-antrecorp/catering/catering.OSt
15	204	../../elitr-testset/documents/2021-antrecorp/toy-joy/toy-joy.OSt
